,Brand,Model,Ram,Rom,Screen_size,Operating System,Processor,Warranty,Price
0,Samsung,Galaxy,16,512,15.6,64 bit Windows 11,512,1,"22,000 "
1,Acer,Chromebook,8,,15.6,Chrome,128,1,"11,000 "
2,Samsung,Galaxy,16,512,15.6,Windows 11,512,1,"22,000 "
3,Acer,NITRO,16,512,16,64 bit Windows 11 Home,512,1,"24,000 "
4,Acer,Aspire,8,256,11.6,64 bit Windows 11 Home,256,1,
5,Lenovo,100e,4,,11.6,Chrome,32,1,"8,200 "
6,ASUS,Expertbook,16,512,15.6,Windows 11 Home,512,1,"22,000 "
7,DELL,G15,16,,15.6,Windows 11,6,1,"22,000 "
8,ASUS,Expertbook,16,512,14,Windows 11 Home,512,1,"22,000 "
9,HP,Victus,16,512,15.6,Windows 11 Home,512,1,
10,Lenovo,100e,4,,11.6,Chrome,64,1,"9,500 "
11,HP,MSO,16,512,15.6,Windows 11 Home,512,1,"22,000 "
12,HP,Victus,16,512,15.6,Windows 11 Home,512,1,"22,000 "
13,Samsung,Galaxy,8,512,15.6,Windows 11,512,1,"22,000 "
14,ASUS,Expertbook,8,512,15.6,Windows 11 Home,512,1,"22,000 "
15,DELL,15,16,512,15.6,Windows 11,512,,"22,000 "
16,ASUS,Vivobook,8,512,15.6,Windows 11 Home,512,1,"26,000 "
17,DELL,15,16,512,15.6,Windows 11 Home,512,,"22,000 "
18,Acer,Nitro,16,512,15.6,64 bit Windows 11 Home,512,1,"25,000 "
19,Samsung,Galaxy,16,512,15.6,Windows 11,512,1,"22,000 "
20,ASUS,Vivobook,8,512,15.6,Windows 11 Home,512,1,"26,000 "
21,Lenovo,IdeaPad,16,512,15.6,Windows 11 Home,512,1,"22,000 "
22,Acer,Aspire,16,512,15.6,Windows 11,512,1,"24,000 "
23,DELL,15,16,512,15.6,Windows 11,512,1,
24,ASUS,Expertbook,32,512,14,Windows 11 Home,512,1,"22,000 "
25,Acer,Aspire,8,512,11.6,64 bit Windows 11 Home,512,1,
26,DELL,Inspiron,16,512,15.6,Windows 11,512,,"22,000 "
27,DELL,16,16,512,16,Windows 11,,1,"22,000 "
28,Acer,Aspire,8,512,14,64 bit Windows 11,512,1,"22,000 "
29,DELL,15,8,512,15.6,Windows 11 Home,512,,
30,DELL,14,16,512,14,Windows 11,512,1,"22,000 "
31,ASUS,Chromebook,4,,15.6,Chrome,64,1,"11,000 "
32,Samsung,Galaxy,16,512,15.6,64 bit Windows 11,512,1,"22,000 "
33,Acer,Aspire,8,512,15.6,Windows 11 Home,512,1,"20,000 "
34,Acer,Aspire,8,512,15.6,Windows 11,512,1,"22,000 "
35,Lenovo,100e,4,,11.6,Chrome,32,1,"8,200 "
36,Acer,Aspire,8,128,11.6,64 bit Windows 11 Home,128,1,"12,000 "
37,Apple,MacBook,16,256,13.6,Mac OS,256,1,"22,000 "
38,Acer,Aspire,16,512,14,Windows 11,512,1,"22,000 "
39,ASUS,Vivobook,16,512,15.6,Windows 11 Home,512,1,
40,HP,15,16,512,15.6,Windows 11 Home,512,1,
41,Acer,Aspire,16,,15.6,Windows 11,,1,"22,000 "
42,ASUS,Vivobook,16,512,15.6,Windows 11 Home,,1,"22,000 "
43,Acer,Swift,16,,14,64 bit Windows 11 Home,,1,"24,000 "
44,Lenovo,Yoga,16,,14,Windows 11,,,"22,000 "
45,Acer,Aspire,16,512,14,Windows 11,512,1,"24,000 "
46,DELL,Inspiron,8,512,14,64 bit Windows 11 Home,512,,
47,ASUS,Vivobook,8,512,15.6,Windows 11 Home,512,1,
48,Samsung,Galaxy,16,512,15.6,64 bit Windows 11,512,1,"22,000 "
49,Lenovo,100e,8,,11.6,Chrome,64,1,"10,000 "
50,DELL,Inspiron,16,512,15.6,Windows 11,512,,"22,000 "
51,DELL,16,16,512,16,Windows 11,,1,"22,000 "
52,Acer,Swift,16,512,14,64 bit Windows 11 Home,512,1,"24,000 "
53,Acer,Aspire,8,512,14,Windows 11,512,1,"22,000 "
54,Acer,Aspire,16,,15.6,64 bit Windows 11,,1,
55,MOTOROLA,Motobook,16,512,14,64 bit Windows 11,512,1,"22,000 "
56,DELL,14,16,512,14,Windows 11,512,1,"22,000 "
